,CASE_STATUS,FULL_TIME,PREVAILING_WAGE,lat,lon
262,DENIED,1.0,68723.0,38.9586307,-77.35700279999998
263,CERTIFIED-WITHDRAWN,1.0,92016.0,40.04159960000001,-75.3698895
264,WITHDRAWN,1.0,157477.0,37.4323341,-121.8995741
265,WITHDRAWN,0.0,60133.0,32.814017699999994,-96.9488945
266,DENIED,1.0,116397.0,40.6975898,-74.2631635
267,CERTIFIED,1.0,87922.0,42.1662831,-87.9631308
268,CERTIFIED-WITHDRAWN,1.0,62296.0,34.1533395,-118.7616764
269,DENIED,1.0,70934.0,42.3600825,-71.0588801
270,WITHDRAWN,1.0,127837.0,37.3382082,-121.88632859999998
271,DENIED,1.0,119600.0,40.6155663,-74.7702576
272,CERTIFIED,1.0,47403.2,27.1678268,-80.2661591
273,DENIED,1.0,56056.0,39.2903848,-76.6121893
274,CERTIFIED-WITHDRAWN,1.0,42682.0,36.1539816,-95.992775
275,CERTIFIED-WITHDRAWN,1.0,70325.0,33.494170399999994,-111.9260519
276,CERTIFIED,1.0,60278.0,27.950575,-82.4571776
277,DENIED,1.0,70970.0,40.7281575,-74.0776417
278,DENIED,1.0,92604.0,37.36883,-122.0363496
279,WITHDRAWN,1.0,89045.0,42.6583661,-83.14993220000002
280,CERTIFIED-WITHDRAWN,1.0,61235.0,29.7604267,-95.3698028
281,CERTIFIED,0.0,53206.4,40.7127837,-74.00594129999998
282,DENIED,1.0,134909.0,40.7281575,-74.0776417
283,DENIED,1.0,154148800.0,35.3732921,-119.0187125
284,CERTIFIED-WITHDRAWN,1.0,73694.0,29.7057858,-95.4588299
285,CERTIFIED-WITHDRAWN,1.0,91270.0,41.8781136,-87.62979820000002
286,CERTIFIED-WITHDRAWN,0.0,67621.0,38.933867600000006,-77.17726040000002
287,WITHDRAWN,1.0,74110.0,33.7489954,-84.3879824
288,CERTIFIED-WITHDRAWN,1.0,91499.0,33.7489954,-84.3879824
289,WITHDRAWN,1.0,58968.0,40.3470543,-74.0643065
290,CERTIFIED,1.0,103688.0,37.3382082,-121.88632859999998
291,DENIED,1.0,56264.0,34.1898566,-118.451357
292,WITHDRAWN,1.0,74922.0,37.55854650000001,-122.2710788
293,CERTIFIED-WITHDRAWN,0.0,41517.0,40.7127837,-74.00594129999998
294,CERTIFIED,1.0,47258.0,33.4483771,-112.0740373
295,CERTIFIED-WITHDRAWN,0.0,41350.0,39.9611755,-82.9987942
296,DENIED,0.0,58676.8,41.223,-111.9738304
297,DENIED,1.0,39749.0,39.158168,-75.5243682
298,CERTIFIED-WITHDRAWN,1.0,77709.0,40.7127837,-74.00594129999998
299,CERTIFIED-WITHDRAWN,1.0,40955.0,39.629526,-79.9558968
300,DENIED,1.0,52208.0,42.65257929999999,-73.7562317
301,CERTIFIED,1.0,67621.0,38.9695545,-77.38609759999999
302,WITHDRAWN,1.0,70666.0,29.7604267,-95.3698028
303,WITHDRAWN,0.0,54766.4,37.3382082,-121.88632859999998
304,DENIED,1.0,42390.0,32.814017699999994,-96.9488945
305,WITHDRAWN,0.0,47715.0,32.7766642,-96.7969879
306,CERTIFIED,1.0,65541.0,42.279286,-71.4161565
307,CERTIFIED-WITHDRAWN,1.0,76856.0,41.8525984,-72.64370219999998
308,WITHDRAWN,1.0,72000.0,29.6160671,-95.5577221
309,CERTIFIED-WITHDRAWN,1.0,33634.0,43.1706128,-78.6903098
310,CERTIFIED-WITHDRAWN,1.0,76606.4,39.0839973,-77.1527578
311,CERTIFIED-WITHDRAWN,1.0,50856.0,34.364732399999994,-89.538443
312,DENIED,0.0,43430.4,38.2526647,-85.7584557
313,DENIED,1.0,61589.0,37.4418834,-122.1430195
314,CERTIFIED,1.0,75046.0,47.4739884,-122.2609558
315,CERTIFIED,1.0,122720.0,42.5750009,-70.93212199999998
316,WITHDRAWN,1.0,66248.0,42.7653662,-71.467566
317,WITHDRAWN,1.0,70907.0,37.3541079,-121.9552356
